Ending,Number,Case,Declension,Gender,Type,Primary,Footnote
α,dual,accusative,1st,feminine,regular,primary,
ά,dual,accusative,1st,feminine,regular,,
ᾶ,dual,accusative,1st,feminine,regular,,2
αιν,dual,dative,1st,feminine,regular,primary,
αῖν,dual,dative,1st,feminine,regular,,
αιιν,dual,dative,1st,feminine,irregular,,
αιν,dual,genitive,1st,feminine,regular,primary,
αῖν,dual,genitive,1st,feminine,regular,,
αιιν,dual,genitive,1st,feminine,irregular,,
α,dual,nominative,1st,feminine,regular,primary,
ά,dual,nominative,1st,feminine,regular,,
ᾶ,dual,nominative,1st,feminine,regular,,2
α,dual,vocative,1st,feminine,regular,primary,
ά,dual,vocative,1st,feminine,regular,,
ᾶ,dual,vocative,1st,feminine,regular,,2
α,dual,accusative,1st,masculine,regular,primary,
ά,dual,accusative,1st,masculine,regular,,
ᾶ,dual,accusative,1st,masculine,regular,,2
αιν,dual,dative,1st,masculine,regular,primary,
αῖν,dual,dative,1st,masculine,regular,,
αιιν,dual,dative,1st,masculine,irregular,,
αιν,dual,genitive,1st,masculine,regular,primary,
αῖν,dual,genitive,1st,masculine,regular,,
αιιν,dual,genitive,1st,masculine,irregular,,
α,dual,nominative,1st,masculine,regular,primary,
ά,dual,nominative,1st,masculine,regular,,
ᾶ,dual,nominative,1st,masculine,regular,,2
α,dual,vocative,1st,masculine,regular,primary,
ά,dual,vocative,1st,masculine,regular,,
ᾶ,dual,vocative,1st,masculine,regular,,2
ας,plural,accusative,1st,feminine,regular,primary,
άς,plural,accusative,1st,feminine,regular,,
ᾶς,plural,accusative,1st,feminine,regular,,2
ανς,plural,accusative,1st,feminine,irregular,,
αις,plural,accusative,1st,feminine,irregular,,
αις,plural,dative,1st,feminine,regular,primary,
αῖς,plural,dative,1st,feminine,regular,,
ῃσι,plural,dative,1st,feminine,irregular,,44
ῃσιν,plural,dative,1st,feminine,irregular,,4 44
ῃς,plural,dative,1st,feminine,irregular,,44
αισι,plural,dative,1st,feminine,irregular,,44
αισιν,plural,dative,1st,feminine,irregular,,4 44
ῶν,plural,genitive,1st,feminine,regular,primary,
άων,plural,genitive,1st,feminine,irregular,,
έων,plural,genitive,1st,feminine,irregular,,
ήων,plural,genitive,1st,feminine,irregular,,
ᾶν,plural,genitive,1st,feminine,irregular,,
αι,plural,nominative,1st,feminine,regular,primary,
αί,plural,nominative,1st,feminine,regular,,
αῖ,plural,nominative,1st,feminine,regular,,2
αι,plural,vocative,1st,feminine,regular,primary,
αί,plural,vocative,1st,feminine,regular,,
αῖ,plural,vocative,1st,feminine,regular,,2
ας,plural,accusative,1st,masculine,regular,primary,
άς,plural,accusative,1st,masculine,regular,,
ᾶς,plural,accusative,1st,masculine,regular,,3
ανς,plural,accusative,1st,masculine,irregular,,
αις,plural,accusative,1st,masculine,irregular,,
αις,plural,dative,1st,masculine,regular,primary,
αῖς,plural,dative,1st,masculine,regular,,
ῃσι,plural,dative,1st,masculine,irregular,,44
ῃσιν,plural,dative,1st,masculine,irregular,,4 44
ῃς,plural,dative,1st,masculine,irregular,,44
αισι,plural,dative,1st,masculine,irregular,,44
αισιν,plural,dative,1st,masculine,irregular,,4 44
ῶν,plural,genitive,1st,masculine,regular,primary,
άων,plural,genitive,1st,masculine,irregular,,
έων,plural,genitive,1st,masculine,irregular,,
ήων,plural,genitive,1st,masculine,irregular,,
ᾶν,plural,genitive,1st,masculine,irregular,,
αι,plural,nominative,1st,masculine,regular,primary,
αί,plural,nominative,1st,masculine,regular,,
αῖ,plural,nominative,1st,masculine,regular,,3
αι,plural,vocative,1st,masculine,regular,primary,
αί,plural,vocative,1st,masculine,regular,,
αῖ,plural,vocative,1st,masculine,regular,,3
αν,singular,accusative,1st,feminine,regular,primary,
ην,singular,accusative,1st,feminine,regular,primary,
ήν,singular,accusative,1st,feminine,regular,,
ᾶν,singular,accusative,1st,feminine,regular,,2
ῆν,singular,accusative,1st,feminine,regular,,2
άν,singular,accusative,1st,feminine,irregular,,63
ᾳ,singular,dative,1st,feminine,regular,primary,
ῃ,singular,dative,1st,feminine,regular,primary,
ῇ,singular,dative,1st,feminine,regular,,2
ᾷ,singular,dative,1st,feminine,regular,,2
ηφι,singular,dative,1st,feminine,irregular,,45
ηφιν,singular,dative,1st,feminine,irregular,,4 45
ῆφι,singular,dative,1st,feminine,irregular,,45
ῆφιv,singular,dative,1st,feminine,irregular,,4 45
ας,singular,genitive,1st,feminine,regular,primary,
ης,singular,genitive,1st,feminine,regular,primary,
ῆs,singular,genitive,1st,feminine,regular,,
ᾶs,singular,genitive,1st,feminine,regular,,2
ηφι,singular,genitive,1st,feminine,irregular,,45
ηφιν,singular,genitive,1st,feminine,irregular,,4 45
ῆφι,singular,genitive,1st,feminine,irregular,,45
ῆφιv,singular,genitive,1st,feminine,irregular,,4 45
α,singular,nominative,1st,feminine,regular,primary,
η,singular,nominative,1st,feminine,regular,primary,1
