Form,Headword,Class,Person,Number,Case,Gender,Type,Primary,Dialects,Footnote
τούτω,οὗτος,demonstrative,,dual,accusative,masculine feminine neuter,regular,primary,,
τούτοιν,οὗτος,demonstrative,,dual,dative,masculine feminine neuter,regular,primary,,
τούτοιν,οὗτος,demonstrative,,dual,genitive,masculine feminine neuter,regular,primary,,
τούτω,οὗτος,demonstrative,,dual,nominative,masculine feminine neuter,regular,primary,,
ταύτᾱς,οὗτος,demonstrative,,plural,accusative,feminine,regular,primary,,
ταύταις,οὗτος,demonstrative,,plural,dative,feminine,regular,primary,,
τούτων,οὗτος,demonstrative,,plural,genitive,feminine,regular,primary,,
αὗται,οὗτος,demonstrative,,plural,nominative,feminine,regular,primary,,
τούτους,οὗτος,demonstrative,,plural,accusative,masculine,regular,primary,,
τούτοις,οὗτος,demonstrative,,plural,dative,masculine,regular,primary,,
τούτων,οὗτος,demonstrative,,plural,genitive,masculine,regular,primary,,
οὗτοι,οὗτος,demonstrative,,plural,nominative,masculine,regular,primary,,
ταῦτα,οὗτος,demonstrative,,plural,accusative,neuter,regular,primary,,
τούτοις,οὗτος,demonstrative,,plural,dative,neuter,regular,primary,,
τούτων,οὗτος,demonstrative,,plural,genitive,neuter,regular,primary,,
ταῦτα,οὗτος,demonstrative,,plural,nominative,neuter,regular,primary,,
ταύτην,οὗτος,demonstrative,,singular,accusative,feminine,regular,primary,,
ταύτῃ,οὗτος,demonstrative,,singular,dative,feminine,regular,primary,,
ταύτης,οὗτος,demonstrative,,singular,genitive,feminine,regular,primary,,
αὕτη,οὗτος,demonstrative,,singular,nominative,feminine,regular,primary,,
τοῦτον,οὗτος,demonstrative,,singular,accusative,masculine,regular,primary,,
τούτῳ,οὗτος,demonstrative,,singular,dative,masculine,regular,primary,,
τούτου,οὗτος,demonstrative,,singular,genitive,masculine,regular,primary,,
οὗτος,οὗτος,demonstrative,,singular,nominative,masculine,regular,primary,,
τοῦτο,οὗτος,demonstrative,,singular,accusative,neuter,regular,primary,,
τούτῳ,οὗτος,demonstrative,,singular,dative,neuter,regular,primary,,
τούτου,οὗτος,demonstrative,,singular,genitive,neuter,regular,primary,,
τοῦτο,οὗτος,demonstrative,,singular,nominative,neuter,regular,primary,,
ἐκείνω,ἐκεῖνος,demonstrative,,dual,accusative,masculine feminine neuter,regular,primary,,
ἐκείνοιν,ἐκεῖνος,demonstrative,,dual,dative,masculine feminine neuter,regular,primary,,
ἐκείνοιν,ἐκεῖνος,demonstrative,,dual,genitive,masculine feminine neuter,regular,primary,,
ἐκείνω,ἐκεῖνος,demonstrative,,dual,nominative,masculine feminine neuter,regular,primary,,
ἐκείνᾱς,ἐκεῖνος,demonstrative,,plural,accusative,feminine,regular,primary,,
ἐκείναις,ἐκεῖνος,demonstrative,,plural,dative,feminine,regular,primary,,
ἐκείνων,ἐκεῖνος,demonstrative,,plural,genitive,feminine,regular,primary,,
ἐκεῖναι,ἐκεῖνος,demonstrative,,plural,nominative,feminine,regular,primary,,
ἐκείνους,ἐκεῖνος,demonstrative,,plural,accusative,masculine,regular,primary,,
ἐκείνοις,ἐκεῖνος,demonstrative,,plural,dative,masculine,regular,primary,,
ἐκείνων,ἐκεῖνος,demonstrative,,plural,genitive,masculine,regular,primary,,
ἐκεῖνοι,ἐκεῖνος,demonstrative,,plural,nominative,masculine,regular,primary,,
ἐκεῖνα,ἐκεῖνος,demonstrative,,plural,accusative,neuter,regular,primary,,
ἐκείνοις,ἐκεῖνος,demonstrative,,plural,dative,neuter,regular,primary,,
ἐκείνων,ἐκεῖνος,demonstrative,,plural,genitive,neuter,regular,primary,,
ἐκεῖνα,ἐκεῖνος,demonstrative,,plural,nominative,neuter,regular,primary,,
ἐκείνην,ἐκεῖνος,demonstrative,,singular,accusative,feminine,regular,primary,,
ἐκείνῃ,ἐκεῖνος,demonstrative,,singular,dative,feminine,regular,primary,,
ἐκείνης,ἐκεῖνος,demonstrative,,singular,genitive,feminine,regular,primary,,
ἐκείνη,ἐκεῖνος,demonstrative,,singular,nominative,feminine,regular,primary,,
ἐκεῖνον,ἐκεῖνος,demonstrative,,singular,accusative,masculine,regular,primary,,
ἐκείνῳ,ἐκεῖνος,demonstrative,,singular,dative,masculine,regular,primary,,
ἐκείνου,ἐκεῖνος,demonstrative,,singular,genitive,masculine,regular,primary,,
ἐκεῖνος,ἐκεῖνος,demonstrative,,singular,nominative,masculine,regular,primary,,
ἐκεῖνο,ἐκεῖνος,demonstrative,,singular,accusative,neuter,regular,primary,,
ἐκείνῳ,ἐκεῖνος,demonstrative,,singular,dative,neuter,regular,primary,,
ἐκείνου,ἐκεῖνος,demonstrative,,singular,genitive,neuter,regular,primary,,
ἐκεῖνο,ἐκεῖνος,demonstrative,,singular,nominative,neuter,regular,primary,,
τώδε,ὅδε,demonstrative,,dual,accusative,masculine feminine neuter,regular,primary,,
τοῖνδε,ὅδε,demonstrative,,dual,dative,masculine feminine neuter,regular,primary,,
τοῖνδε,ὅδε,demonstrative,,dual,genitive,masculine feminine neuter,regular,primary,,
τώδε,ὅδε,demonstrative,,dual,nominative,masculine feminine neuter,regular,primary,,
τά̄σδε,ὅδε,demonstrative,,plural,accusative,feminine,regular,primary,,
ταῖσδε,ὅδε,demonstrative,,plural,dative,feminine,regular,primary,,
τῶνδε,ὅδε,demonstrative,,plural,genitive,feminine,regular,primary,,
αἵδε,ὅδε,demonstrative,,plural,nominative,feminine,regular,primary,,
τούσδε,ὅδε,demonstrative,,plural,accusative,masculine,regular,primary,,
τοῖσδε,ὅδε,demonstrative,,plural,dative,masculine,regular,primary,,
τῶνδε,ὅδε,demonstrative,,plural,genitive,masculine,regular,primary,,
οἵδε,ὅδε,demonstrative,,plural,nominative,masculine,regular,primary,,
τάδε,ὅδε,demonstrative,,plural,accusative,neuter,regular,primary,,
τοῖσδε,ὅδε,demonstrative,,plural,dative,neuter,regular,primary,,
τῶνδε,ὅδε,demonstrative,,plural,genitive,neuter,regular,primary,,
τάδε,ὅδε,demonstrative,,plural,nominative,neuter,regular,primary,,
τήνδε,ὅδε,demonstrative,,singular,accusative,feminine,regular,primary,,
τῇδε,ὅδε,demonstrative,,singular,dative,feminine,regular,primary,,
τῆσδε,ὅδε,demonstrative,,singular,genitive,feminine,regular,primary,,
ἥδε,ὅδε,demonstrative,,singular,nominative,feminine,regular,primary,,
τόνδε,ὅδε,demonstrative,,singular,accusative,masculine,regular,primary,,
τῷδε,ὅδε,demonstrative,,singular,dative,masculine,regular,primary,,
τοῦδε,ὅδε,demonstrative,,singular,genitive,masculine,regular,primary,,
ὅδε,ὅδε,demonstrative,,singular,nominative,masculine,regular,primary,,
τόδε,ὅδε,demonstrative,,singular,accusative,neuter,regular,primary,,
τῷδε,ὅδε,demonstrative,,singular,dative,neuter,regular,primary,,
τοῦδε,ὅδε,demonstrative,,singular,genitive,neuter,regular,primary,,
