Ending,Number,Case,Gender,Type,Footnote
ior,singular,nominative,masculine feminine,regular,
ius,singular,nominative,neuter,regular,
entior,singular,nominative,masculine feminine,irregular,1
entius,singular,nominative,neuter,irregular,1
is,singular,genitive,masculine feminine,regular,
is,singular,genitive,neuter,regular,
ī,singular,dative,masculine feminine,regular,
ī,singular,dative,neuter,regular,
em,singular,accusative,masculine feminine,regular,
-,singular,accusative,neuter,regular,
e (-ī),singular,ablative,masculine feminine,regular,
e (-ī),singular,ablative,neuter,regular,
-,singular,vocative,masculine feminine,regular,
-,singular,vocative,neuter,regular,
ēs,plural,nominative,masculine feminine,regular,
a,plural,nominative,neuter,regular,
um,plural,genitive,masculine feminine,regular,
um,plural,genitive,neuter,regular,
ibus,plural,dative,masculine feminine,regular,
ibus,plural,dative,neuter,regular,
ēs (-īs),plural,accusative,masculine feminine,regular,
a,plural,accusative,neuter,regular,
ibus,plural,ablative,masculine feminine,regular,
ibus,plural,ablative,neuter,regular,
ēs,plural,vocative,masculine feminine,regular,
a,plural,vocative,neuter,regular,
