Lemma,PrincipalParts,Form,Voice,Mood,Tense,Number,Person,Footnote
sum,esse_fui_futurus,es,,imperative,present,singular,2nd,
sum,esse_fui_futurus,este,,imperative,present,plural,2nd,
sum,esse_fui_futurus,estō,,imperative,future,singular,2nd,
sum,esse_fui_futurus,estō,,imperative,future,singular,3rd,
sum,esse_fui_futurus,estōte,,imperative,future,plural,2nd,
sum,esse_fui_futurus,suntō,,imperative,future,plural,3rd,
fero,ferre_tuli_latus,fer,active,imperative,present,singular,2nd,
fero,ferre_tuli_latus,ferte,active,imperative,present,plural,2nd,
fero,ferre_tuli_latus,ferre,passive,imperative,present,singular,2nd,
fero,ferre_tuli_latus,feriminī,passive,imperative,present,plural,2nd,
fero,ferre_tuli_latus,fertō,active,imperative,future,singular,2nd,
fero,ferre_tuli_latus,fertōte,active,imperative,future,singular,3rd,
fero,ferre_tuli_latus,fertō,active,imperative,future,plural,2nd,
fero,ferre_tuli_latus,feruntō,active,imperative,future,plural,3rd,
fero,ferre_tuli_latus,fertor,passive,imperative,future,singular,2nd,
fero,ferre_tuli_latus,fertor,passive,imperative,future,plural,2nd,
fero,ferre_tuli_latus,feruntor,passive,imperative,future,plural,3rd,
eo,ire_ivi(ii)_itus,ī,,imperative,present,singular,2nd,
eo,ire_ivi(ii)_itus,īte,,imperative,present,plural,2nd,
eo,ire_ivi(ii)_itus,ītō,,imperative,future,singular,2nd,
eo,ire_ivi(ii)_itus,ītō,,imperative,future,singular,3rd,
eo,ire_ivi(ii)_itus,ītōte,,imperative,future,plural,2nd,
eo,ire_ivi(ii)_itus,euntō,,imperative,future,plural,3rd,
prosum,prodesse_profui_profuturus,prodes,,imperative,present,singular,2nd,14
prosum,prodesse_profui_profuturus,prodeste,,imperative,present,plural,2nd,14
prosum,prodesse_profui_profuturus,prodestō,,imperative,future,singular,2nd,14
prosum,prodesse_profui_profuturus,prodestō,,imperative,future,singular,3rd,14
prosum,prodesse_profui_profuturus,prodestōte,,imperative,future,plural,2nd,14
prosum,prodesse_profui_profuturus,prosuntō,,imperative,future,plural,3rd,
absum,abesse_abfui_abfuturus,abes,,imperative,present,singular,2nd,
absum,abesse_abfui_abfuturus,abeste,,imperative,present,plural,2nd,
absum,abesse_abfui_abfuturus,abestō,,imperative,future,singular,2nd,
absum,abesse_abfui_abfuturus,abestō,,imperative,future,singular,3rd,
absum,abesse_abfui_abfuturus,abestōte,,imperative,future,plural,2nd,
absum,abesse_abfui_abfuturus,absuntō,,imperative,future,plural,3rd,
adsum,adesse_adfui_adfuturus,ades,,imperative,present,singular,2nd,
adsum,adesse_adfui_adfuturus,adeste,,imperative,present,plural,2nd,
adsum,adesse_adfui_adfuturus,adestō,,imperative,future,singular,2nd,
adsum,adesse_adfui_adfuturus,adestō,,imperative,future,singular,3rd,
adsum,adesse_adfui_adfuturus,adestōte,,imperative,future,plural,2nd,
adsum,adesse_adfui_adfuturus,adsuntō,,imperative,future,plural,3rd,
subsum,subesse_subfui_subfuturus,subes,,imperative,present,singular,2nd,
subsum,subesse_subfui_subfuturus,subeste,,imperative,present,plural,2nd,
subsum,subesse_subfui_subfuturus,subestō,,imperative,future,singular,2nd,
subsum,subesse_subfui_subfuturus,subestō,,imperative,future,singular,3rd,
subsum,subesse_subfui_subfuturus,subestōte,,imperative,future,plural,2nd,
