Lemma,PrincipalParts,Form,Voice,Mood,Tense,Number,Person,Footnote
sum,esse_fui_futurus,esse,active,infinitive,present,,,
sum,esse_fui_futurus,futūrus esse,active,infinitive,future,,,
sum,esse_fui_futurus,fore,active,infinitive,future,,,
sum,esse_fui_futurus,fuisse,active,infinitive,perfect,,,
sum,esse_fui_futurus,esse,passive,infinitive,present,,,
sum,esse_fui_futurus,futūrus esse,passive,infinitive,future,,,
sum,esse_fui_futurus,fore,passive,infinitive,future,,,
sum,esse_fui_futurus,fuisse,passive,infinitive,perfect,,,
fero,ferre_tuli_latus,ferre,active,infinitive,present,,,3
fero,ferre_tuli_latus,ferrī,passive,infinitive,present,,,
fero,ferre_tuli_latus,latūrus esse,active,infinitive,future,,,
fero,ferre_tuli_latus,latūm īrī,passive,infinitive,future,,,
fero,ferre_tuli_latus,tulisse,active,infinitive,perfect,,,
fero,ferre_tuli_latus,lātus esse,passive,infinitive,perfect,,,
volo,velle_volui_-,velle,active,infinitive,present,,,
volo,velle_volui_-,voluisse,active,infinitive,perfect,,,
volo,velle_volui_-,velle,passive,infinitive,present,,,
volo,velle_volui_-,voluisse,passive,infinitive,perfect,,,
eo,ire_ivi(ii)_itus,īre,active,infinitive,present,,,
eo,ire_ivi(ii)_itus,itūrus esse,active,infinitive,future,,,
eo,ire_ivi(ii)_itus,īsse,active,infinitive,perfect,,,10
eo,ire_ivi(ii)_itus,īvisse,active,infinitive,perfect,,,
eo,ire_ivi(ii)_itus,īre,passive,infinitive,present,,,
eo,ire_ivi(ii)_itus,itūrus esse,passive,infinitive,future,,,
eo,ire_ivi(ii)_itus,īsse,passive,infinitive,perfect,,,10
eo,ire_ivi(ii)_itus,īvisse,passive,infinitive,perfect,,,
possum,posse_potui_-,posse,active,infinitive,present,,,
possum,posse_potui_-,potesse,active,infinitive,present,,,12
possum,posse_potui_-,potuisse,active,infinitive,perfect,,,
possum,posse_potui_-,posse,passive,infinitive,present,,,
possum,posse_potui_-,potesse,passive,infinitive,present,,,12
possum,posse_potui_-,potuisse,passive,infinitive,perfect,,,
prosum,prodesse_profui_profuturus,prodesse,active,infinitive,present,,,14
