Class,Person,Number,Case,Type,Form,Alt,Footnote
personal,1st,singular,nominative,regular,ego,,
personal,1st,singular,genitive,regular,meI,,
personal,1st,singular,genitive,irregular,mIs,,1
personal,1st,singular,dative,regular,mihi,,
personal,1st,singular,dative,irregular,mI,,
personal,1st,singular,accusative,regular,mE,,
personal,1st,singular,accusative,irregular,mEmE,,
personal,1st,singular,ablative,regular,mE,,
personal,1st,singular,ablative,irregular,mEmE,,
personal,1st,singular,vocative,,,,
personal,2nd,singular,nominative,regular,tU,,
personal,2nd,singular,genitive,regular,tuI,,
personal,2nd,singular,genitive,irregular,tIs,,1
personal,2nd,singular,dative,regular,tibi,,
personal,2nd,singular,accusative,regular,tE,,
personal,2nd,singular,accusative,irregular,tEtE,,
personal,2nd,singular,ablative,regular,tE,,
personal,2nd,singular,ablative,irregular,tEtE,,
personal,2nd,singular,vocative,regular,tU,,
personal,1st,plural,nominative,regular,nOs,,
personal,1st,plural,genitive,regular,nostrum,,
personal,1st,plural,dative,regular,nObIs,,
personal,1st,plural,accusative,regular,nOs,,
personal,1st,plural,ablative,regular,nObIs,,
personal,1st,plural,vocative,,,,
personal,2nd,plural,nominative,regular,vOs,,
personal,2nd,plural,genitive,regular,vestrum,,
personal,2nd,plural,genitive,regular,vestrI,,
personal,2nd,plural,genitive,irregular,vostrum,,
personal,2nd,plural,genitive,irregular,vostrI,,
personal,2nd,plural,dative,regular,vObIs,,
personal,2nd,plural,accusative,regular,vOs,,
personal,2nd,plural,ablative,regular,vObIs,,
personal,2nd,plural,vocative,regular,vOs,,
reflexive,3rd,singular,nominative,,,,
reflexive,3rd,singular,genitive,regular,suI,,
reflexive,3rd,singular,dative,regular,sibi,,
reflexive,3rd,singular,accusative,regular,sE,,
reflexive,3rd,singular,accusative,irregular,sEsE,,
reflexive,3rd,singular,ablative,regular,sE,,
reflexive,3rd,singular,ablative,irregular,sEsE,,
reflexive,3rd,singular,vocative,,,,
reflexive,3rd,plural,nominative,,,,
reflexive,3rd,plural,genitive,regular,suI,,
reflexive,3rd,plural,dative,regular,sibi,,
reflexive,3rd,plural,accusative,regular,sE,,
reflexive,3rd,plural,accusative,irregular,sEsE,,
reflexive,3rd,plural,ablative,regular,sE,,
reflexive,3rd,plural,ablative,irregular,sEsE,,
reflexive,3rd,plural,vocative,,,,
possessive,1st,singular,nominative,regular,meus,,
possessive,1st,singular,genitive,regular,meI,,
possessive,1st,singular,dative,regular,meO,,
possessive,1st,singular,accusative,regular,meum,,
possessive,1st,singular,ablative,regular,meO,,
possessive,1st,singular,vocative,regular,mI,,
possessive,1st,singular,vocative,irregular,meus,,
possessive,1st,singular,nominative,regular,mea,,
possessive,1st,singular,genitive,regular,meae,,
possessive,1st,singular,dative,regular,meae,,
possessive,1st,singular,accusative,regular,meam,,
possessive,1st,singular,ablative,regular,meA,,
possessive,1st,singular,vocative,regular,mea,,
possessive,1st,singular,nominative,regular,meum,,
possessive,1st,singular,genitive,regular,meI,,
possessive,1st,singular,dative,regular,meO,,
possessive,1st,singular,accusative,regular,meum,,
possessive,1st,singular,ablative,regular,meO,,
possessive,1st,singular,vocative,regular,meum,,
possessive,2nd,singular,nominative,regular,tuus,,
possessive,2nd,singular,genitive,regular,tuI,,
possessive,2nd,singular,dative,regular,tuO,,
possessive,2nd,singular,accusative,regular,tuum,,
possessive,2nd,singular,ablative,regular,tuO,,
possessive,2nd,singular,vocative,,,,
possessive,2nd,singular,nominative,regular,tua,,
possessive,2nd,singular,genitive,regular,tuae,,
possessive,2nd,singular,dative,regular,tuae,,
possessive,2nd,singular,accusative,regular,tuam,,
