Ending,Number,Case,Gender,Type,Footnote
issima,singular,nominative,feminine,regular,
issimus,singular,nominative,masculine,regular,
issimum,singular,nominative,neuter,regular,
entissima,singular,nominative,feminine,irregular,1
entissimus,singular,nominative,masculine,irregular,1
entissimum,singular,nominative,neuter,irregular,1
rima,singular,nominative,feminine,irregular,2
rimus,singular,nominative,masculine,irregular,2
rimum,singular,nominative,neuter,irregular,2
lima,singular,nominative,feminine,irregular,3
limus,singular,nominative,masculine,irregular,3
limum,singular,nominative,neuter,irregular,3
ma,singular,nominative,feminine,irregular,4
mus,singular,nominative,masculine,irregular,4
mum,singular,nominative,neuter,irregular,4
issimae,singular,genitive,feminine,regular,
issimī,singular,genitive,masculine,regular,
issimī,singular,genitive,neuter,regular,
issimae,singular,dative,feminine,regular,
issimō,singular,dative,masculine,regular,
issimō,singular,dative,neuter,regular,
issimam,singular,accusative,feminine,regular,
issimum,singular,accusative,masculine,regular,
issimum,singular,accusative,neuter,regular,
issimā,singular,ablative,feminine,regular,
issimō,singular,ablative,masculine,regular,
issimō,singular,ablative,neuter,regular,
issima,singular,vocative,feminine,regular,
issime,singular,vocative,masculine,regular,
issimum,singular,vocative,neuter,regular,
issimae,plural,nominative,feminine,regular,
issimī,plural,nominative,masculine,regular,
issima,plural,nominative,neuter,regular,
issimārum,plural,genitive,feminine,regular,
issimōrum,plural,genitive,masculine,regular,
issimōrum,plural,genitive,neuter,regular,
issimīs,plural,dative,feminine,regular,
issimīs,plural,dative,masculine,regular,
issimīs,plural,dative,neuter,regular,
issimās,plural,accusative,feminine,regular,
issimōs,plural,accusative,masculine,regular,
issima,plural,accusative,neuter,regular,
issimīs,plural,ablative,feminine,regular,
issimīs,plural,ablative,masculine,regular,
issimīs,plural,ablative,neuter,regular,
issimae,plural,vocative,feminine,regular,
issimī,plural,vocative,masculine,regular,
issima,plural,vocative,neuter,regular,
