Ending,Conjugation,Voice,Mood,Tense,Number,Person,Case,Type,Footnote
ātum,1st,active,,,,,accusative,regular,
itum,2nd,active,,,,,accusative,regular,
tum,3rd,active,,,,,accusative,regular,
ītum,4th,active,,,,,accusative,regular,
ātū,1st,active,,,,,ablative,regular,
itū,2nd,active,,,,,ablative,regular,
tū,3rd,active,,,,,ablative,regular,
ītū,4th,active,,,,,ablative,regular,
,1st,passive,,,,,accusative,,
,2nd,passive,,,,,accusative,,
,3rd,passive,,,,,accusative,,
,4th,passive,,,,,accusative,,
,1st,passive,,,,,ablative,,
,2nd,passive,,,,,ablative,,
,3rd,passive,,,,,ablative,,
,4th,passive,,,,,ablative,,
