Ending,Number,Case,Declension,Gender,Type,Primary,Footnote
α,dual,accusative,1st,feminine,regular,primary,
ά,dual,accusative,1st,feminine,regular,,
ᾶ,dual,accusative,1st,feminine,regular,,4
έα,dual,accusative,1st,feminine,irregular,,16
αιν,dual,dative,1st,feminine,regular,primary,
αῖv,dual,dative,1st,feminine,regular,,
έαιν,dual,dative,1st,feminine,irregular,,16
αιν,dual,genitive,1st,feminine,regular,primary,
αῖv,dual,genitive,1st,feminine,regular,,
έαιν,dual,genitive,1st,feminine,irregular,,16
α,dual,nominative,1st,feminine,regular,primary,
ά,dual,nominative,1st,feminine,regular,,
ᾶ,dual,nominative,1st,feminine,regular,,4
έα,dual,nominative,1st,feminine,irregular,,16
α,dual,vocative,1st,feminine,regular,primary,
ά,dual,vocative,1st,feminine,regular,,
ᾶ,dual,vocative,1st,feminine,regular,,4
έα,dual,vocative,1st,feminine,irregular,,16
ας,plural,accusative,1st,feminine,regular,primary,
άς,plural,accusative,1st,feminine,regular,,
ᾶς,plural,accusative,1st,feminine,regular,,4
έας,plural,accusative,1st,feminine,irregular,,16
αις,plural,dative,1st,feminine,regular,primary,
αῖς,plural,dative,1st,feminine,regular,,4
έαις,plural,dative,1st,feminine,irregular,,16
ων,plural,genitive,1st,feminine,regular,,
ῶν,plural,genitive,1st,feminine,regular,primary,
έων,plural,genitive,1st,feminine,irregular,,16
άων,plural,genitive,1st,feminine,irregular,,
αι,plural,nominative,1st,feminine,regular,primary,
αί,plural,nominative,1st,feminine,regular,,
αῖ,plural,nominative,1st,feminine,regular,,4
εαι,plural,nominative,1st,feminine,irregular,,16
έαι,plural,nominative,1st,feminine,irregular,,16
αι,plural,vocative,1st,feminine,regular,primary,
αί,plural,vocative,1st,feminine,regular,,
αῖ,plural,vocative,1st,feminine,regular,,4
εαι,plural,vocative,1st,feminine,irregular,,16
έαι,plural,vocative,1st,feminine,irregular,,16
αν,singular,accusative,1st,feminine,regular,primary,
ην,singular,accusative,1st,feminine,regular,,
άν,singular,accusative,1st,feminine,regular,,
ήν,singular,accusative,1st,feminine,regular,,
ᾶν,singular,accusative,1st,feminine,regular,,4
ῆν,singular,accusative,1st,feminine,regular,,4
έαν,singular,accusative,1st,feminine,irregular,,16
ᾳ,singular,dative,1st,feminine,regular,primary,
ῃ,singular,dative,1st,feminine,regular,,
ᾷ,singular,dative,1st,feminine,regular,,
ῇ,singular,dative,1st,feminine,regular,,
έᾳ,singular,dative,1st,feminine,irregular,,16
ας,singular,genitive,1st,feminine,regular,primary,
ης,singular,genitive,1st,feminine,regular,,
ᾶς,singular,genitive,1st,feminine,regular,,
ῆς,singular,genitive,1st,feminine,regular,,
έας,singular,genitive,1st,feminine,irregular,,16
α,singular,nominative,1st,feminine,regular,primary,
η,singular,nominative,1st,feminine,regular,,
ά,singular,nominative,1st,feminine,regular,,
ή,singular,nominative,1st,feminine,regular,,
ῆ,singular,nominative,1st,feminine,regular,,4
ᾶ,singular,nominative,1st,feminine,regular,,4
έα,singular,nominative,1st,feminine,irregular,,16
α,singular,vocative,1st,feminine,regular,primary,
η,singular,vocative,1st,feminine,regular,,
ά,singular,vocative,1st,feminine,regular,,
ή,singular,vocative,1st,feminine,regular,,
ᾶ,singular,vocative,1st,feminine,regular,,4
ῆ,singular,vocative,1st,feminine,regular,,4
έα,singular,vocative,1st,feminine,irregular,,16
ω,dual,accusative,2nd,masculine feminine,regular,primary,
ώ,dual,accusative,2nd,masculine feminine,regular,,
έω,dual,accusative,2nd,masculine feminine,irregular,,16
όω,dual,accusative,2nd,masculine feminine,irregular,,16
οιν,dual,dative,2nd,masculine feminine,regular,primary,
οῖν,dual,dative,2nd,masculine feminine,regular,,
ῳν,dual,dative,2nd,masculine feminine,regular,,
έοιν,dual,dative,2nd,masculine feminine,irregular,,16
όοιν,dual,dative,2nd,masculine feminine,irregular,,16
οιν,dual,genitive,2nd,masculine feminine,regular,primary,
οῖν,dual,genitive,2nd,masculine feminine,regular,,
ῳν,dual,genitive,2nd,masculine feminine,regular,,
έοιν,dual,genitive,2nd,masculine feminine,irregular,,16
όοιν,dual,genitive,2nd,masculine feminine,irregular,,16
ω,dual,nominative,2nd,masculine feminine,regular,primary,
ώ,dual,nominative,2nd,masculine feminine,regular,,
έω,dual,nominative,2nd,masculine feminine,irregular,,16
όω,dual,nominative,2nd,masculine feminine,irregular,,16
ω,dual,vocative,2nd,masculine feminine,regular,primary,
ώ,dual,vocative,2nd,masculine feminine,regular,,
έω,dual,vocative,2nd,masculine feminine,irregular,,16
όω,dual,vocative,2nd,masculine feminine,irregular,,16
ω,dual,accusative,2nd,neuter,regular,primary,
ώ,dual,accusative,2nd,neuter,regular,,
έω,dual,accusative,2nd,neuter,irregular,,16
οιν,dual,dative,2nd,neuter,regular,primary,
οῖν,dual,dative,2nd,neuter,regular,,
ῳν,dual,dative,2nd,neuter,regular,,
έοιν,dual,dative,2nd,neuter,irregular,,16
