Ending,Number,Case,Declension,Gender,Type,Footnote
a,singular,nominative,1st,feminine,regular,
ē,singular,nominative,1st,feminine,irregular,
ēs,singular,nominative,1st,feminine,irregular,
ā,singular,nominative,1st,feminine,irregular,7
us,singular,nominative,2nd,masculine feminine,regular,
er,singular,nominative,2nd,masculine feminine,regular,
ir,singular,nominative,2nd,masculine feminine,regular,
-,singular,nominative,2nd,masculine feminine,irregular,
os,singular,nominative,2nd,masculine feminine,irregular,1
ōs,singular,nominative,2nd,masculine feminine,irregular,
ō,singular,nominative,2nd,masculine feminine,irregular,7
um,singular,nominative,2nd,neuter,regular,
us,singular,nominative,2nd,neuter,irregular,10
on,singular,nominative,2nd,neuter,irregular,7
-,singular,nominative,3rd,masculine feminine,regular,
os,singular,nominative,3rd,masculine feminine,irregular,
ōn,singular,nominative,3rd,masculine feminine,irregular,7
-,singular,nominative,3rd,neuter,regular,
us,singular,nominative,4th,masculine feminine,regular,
ū,singular,nominative,4th,neuter,regular,
ēs,singular,nominative,5th,feminine,regular,
ae,singular,genitive,1st,feminine,regular,
āī,singular,genitive,1st,feminine,irregular,1
ās,singular,genitive,1st,feminine,irregular,2
ēs,singular,genitive,1st,feminine,irregular,7
ī,singular,genitive,2nd,masculine feminine,regular,
ō,singular,genitive,2nd,masculine feminine,irregular,7
ī,singular,genitive,2nd,neuter,regular,
is,singular,genitive,3rd,masculine feminine,regular,
is,singular,genitive,3rd,neuter,regular,
ūs,singular,genitive,4th,masculine feminine,regular,
uis,singular,genitive,4th,masculine feminine,irregular,1
uos,singular,genitive,4th,masculine feminine,irregular,1
ī,singular,genitive,4th,masculine feminine,irregular,15
ūs,singular,genitive,4th,neuter,regular,
ēī,singular,genitive,5th,feminine,regular,
eī,singular,genitive,5th,feminine,regular,
ī,singular,genitive,5th,feminine,irregular,
ē,singular,genitive,5th,feminine,irregular,
ēs,singular,genitive,5th,feminine,irregular,6
ae,singular,dative,1st,feminine,regular,
āī,singular,dative,1st,feminine,irregular,1
ō,singular,dative,2nd,masculine feminine,regular,
ō,singular,dative,2nd,neuter,regular,
ī,singular,dative,3rd,masculine feminine,regular,
e,singular,dative,3rd,masculine feminine,irregular,17
ī,singular,dative,3rd,neuter,regular,
ūī,singular,dative,4th,masculine feminine,regular,
ū,singular,dative,4th,masculine feminine,regular,
ū,singular,dative,4th,neuter,regular,
ēī,singular,dative,5th,feminine,regular,
eī,singular,dative,5th,feminine,regular,
ī,singular,dative,5th,feminine,irregular,
ē,singular,dative,5th,feminine,irregular,6
am,singular,accusative,1st,feminine,regular,
ēn,singular,accusative,1st,feminine,irregular,
ān,singular,accusative,1st,feminine,irregular,7
