Form Set,Headwords,Class,Person,Number,Case,Type,Form,Footnote
1,,personal,1st,singular,nominative,regular,ego,
1,,personal,1st,singular,genitive,regular,meI,
1,,personal,1st,singular,genitive,irregular,mIs,1
1,,personal,1st,singular,dative,regular,mihi,
1,,personal,1st,singular,dative,irregular,mI,
1,,personal,1st,singular,accusative,regular,mE,
1,,personal,1st,singular,accusative,irregular,mEmE,
1,,personal,1st,singular,ablative,regular,mE,
1,,personal,1st,singular,ablative,irregular,mEmE,
1,,personal,1st,singular,vocative,,,
1,,personal,2nd,singular,nominative,regular,tU,
1,,personal,2nd,singular,genitive,regular,tuI,
1,,personal,2nd,singular,genitive,irregular,tIs,1
1,,personal,2nd,singular,dative,regular,tibi,
1,,personal,2nd,singular,accusative,regular,tE,
1,,personal,2nd,singular,accusative,irregular,tEtE,
1,,personal,2nd,singular,ablative,regular,tE,
1,,personal,2nd,singular,ablative,irregular,tEtE,
1,,personal,2nd,singular,vocative,regular,tU,
1,,personal,1st,plural,nominative,regular,nOs,
1,,personal,1st,plural,genitive,regular,nostrum,
1,,personal,1st,plural,dative,regular,nObIs,
1,,personal,1st,plural,accusative,regular,nOs,
1,,personal,1st,plural,ablative,regular,nObIs,
1,,personal,1st,plural,vocative,,,
1,,personal,2nd,plural,nominative,regular,vOs,
1,,personal,2nd,plural,genitive,regular,vestrum,
1,,personal,2nd,plural,genitive,regular,vestrI,
1,,personal,2nd,plural,genitive,irregular,vostrum,
1,,personal,2nd,plural,genitive,irregular,vostrI,
1,,personal,2nd,plural,dative,regular,vObIs,
1,,personal,2nd,plural,accusative,regular,vOs,
1,,personal,2nd,plural,ablative,regular,vObIs,
1,,personal,2nd,plural,vocative,regular,vOs,
2,,reflexive,3rd,singular,nominative,,,
2,,reflexive,3rd,singular,genitive,regular,suI,
2,,reflexive,3rd,singular,dative,regular,sibi,
2,,reflexive,3rd,singular,accusative,regular,sE,
2,,reflexive,3rd,singular,accusative,irregular,sEsE,
2,,reflexive,3rd,singular,ablative,regular,sE,
2,,reflexive,3rd,singular,ablative,irregular,sEsE,
2,,reflexive,3rd,singular,vocative,,,
2,,reflexive,3rd,plural,nominative,,,
2,,reflexive,3rd,plural,genitive,regular,suI,
2,,reflexive,3rd,plural,dative,regular,sibi,
2,,reflexive,3rd,plural,accusative,regular,sE,
2,,reflexive,3rd,plural,accusative,irregular,sEsE,
2,,reflexive,3rd,plural,ablative,regular,sE,
2,,reflexive,3rd,plural,ablative,irregular,sEsE,
2,,reflexive,3rd,plural,vocative,,,
3,"meus,mea,meum;tuus,tua,tuum;suus,sua,suum",possessive,1st,singular,nominative,regular,meus,
3,"meus,mea,meum;tuus,tua,tuum;suus,sua,suum",possessive,1st,singular,genitive,regular,meI,
3,"meus,mea,meum;tuus,tua,tuum;suus,sua,suum",possessive,1st,singular,dative,regular,meO,
3,"meus,mea,meum;tuus,tua,tuum;suus,sua,suum",possessive,1st,singular,accusative,regular,meum,
3,"meus,mea,meum;tuus,tua,tuum;suus,sua,suum",possessive,1st,singular,ablative,regular,meO,
3,"meus,mea,meum;tuus,tua,tuum;suus,sua,suum",possessive,1st,singular,vocative,regular,mI,
3,"meus,mea,meum;tuus,tua,tuum;suus,sua,suum",possessive,1st,singular,vocative,irregular,meus,
3,"meus,mea,meum;tuus,tua,tuum;suus,sua,suum",possessive,1st,singular,nominative,regular,mea,
3,"meus,mea,meum;tuus,tua,tuum;suus,sua,suum",possessive,1st,singular,genitive,regular,meae,
3,"meus,mea,meum;tuus,tua,tuum;suus,sua,suum",possessive,1st,singular,dative,regular,meae,
3,"meus,mea,meum;tuus,tua,tuum;suus,sua,suum",possessive,1st,singular,accusative,regular,meam,
3,"meus,mea,meum;tuus,tua,tuum;suus,sua,suum",possessive,1st,singular,ablative,regular,meA,
3,"meus,mea,meum;tuus,tua,tuum;suus,sua,suum",possessive,1st,singular,vocative,regular,mea,
3,"meus,mea,meum;tuus,tua,tuum;suus,sua,suum",possessive,1st,singular,nominative,regular,meum,
3,"meus,mea,meum;tuus,tua,tuum;suus,sua,suum",possessive,1st,singular,genitive,regular,meI,
3,"meus,mea,meum;tuus,tua,tuum;suus,sua,suum",possessive,1st,singular,dative,regular,meO,
3,"meus,mea,meum;tuus,tua,tuum;suus,sua,suum",possessive,1st,singular,accusative,regular,meum,
3,"meus,mea,meum;tuus,tua,tuum;suus,sua,suum",possessive,1st,singular,ablative,regular,meO,
3,"meus,mea,meum;tuus,tua,tuum;suus,sua,suum",possessive,1st,singular,vocative,regular,meum,
