ID ref,Match order,Part of speech,Stem type,Declension,Gender,Lemma,Morph flags,Dialect
nounpdgm1,1,noun,os_ou,2nd,masculine,ἄνθρωπος,,
nounpdgm1,1,noun,os_ou,2nd,neuter,ἔργον,,
nounpdgm2,1,noun,h_hs,1st,feminine,χώρα,,
nounpdgm2,1,noun,h_hs,1st,feminine,γνώμη,,
nounpdgm3,1,noun,,1st,feminine,ὑγίεια,,
nounpdgm3,1,noun,,1st,feminine,θάλασσα,,
nounpdgm4,1,noun,hs_ou,1st,masculine,νεανίης,,
nounpdgm4,1,noun,hs_ou,1st,masculine,στρατιώτης,,
nounpdgm5,1,noun,y_pos,3rd,masculine,κλώψ,,
nounpdgm5,1,noun,c_kos,3rd,masculine,φύλαξ,,
nounpdgm6,1,noun,is_itos,3rd,,χάρις,,
nounpdgm6,1,noun,is_idos,3rd,,ἀσπίς,,
nounpdgm6,1,noun,s_dos,3rd,,Ἑλλάς,,
nounpdgm7,1,noun,wn_ontos,3rd,,γέρων,,
nounpdgm7,1,noun,as_antos,3rd,,γίγας,,
nounpdgm7,1,noun,ous_ontos,3rd,,ὀδούς,,
nounpdgm8,1,noun,ma_matos,3rd,neuter,πρᾶγμα,,
nounpdgm8,1,noun,as_atos,3rd,neuter,τέρας,,
nounpdgm9,1,noun,wr_oros,3rd,,ῥήτωρ,,
nounpdgm9,1,noun,wn_onos,3rd,,δαίμων,,
nounpdgm9,1,noun,n_nos,3rd,,ἀγών,,
nounpdgm9,1,noun,irreg_decl3,3rd,,ἅλς,,
nounpdgm10,1,noun,hr_eros,3rd,,πατήρ,,
nounpdgm10,1,noun,hr_eros,3rd,,μήτηρ,,
nounpdgm10,1,noun,hr_eros,3rd,,θυγάτηρ,,
nounpdgm10,1,noun,irreg_decl3,3rd,,ἀνήρ,,
nounpdgm11,1,noun,hs_eos,3rd,,τριήρης,,
nounpdgm11,1,noun,hs_eos,3rd,,γένος,,
nounpdgm11,1,noun,as_aos,3rd,,γέρας,,
nounpdgm12,1,noun,irreg_decl3,3rd,,γυνή,,
nounpdgm12,1,noun,irreg_decl3,3rd,,χείρ,,
nounpdgm12,1,noun,eus_ews,3rd,,υἱός,,
nounpdgm13,1,noun,is_ews,3rd,,πόλις,,
nounpdgm13,1,noun,us_ews,3rd,,πῆχυς,,
nounpdgm13,1,noun,us_ews,3rd,,ἄστυ,,
nounpdgm13,1,noun,uLs_uos,3rd,,ἰχθύς,,
nounpdgm14,1,noun,eus_ews,3rd,,ἱππεύς,,
nounpdgm14,1,noun,irreg_decl3,3rd,,γραῦς,,
nounpdgm14,1,noun,irreg_decl3,3rd,,ναῦς,,
nounpdgm14,1,noun,irreg_decl3,3rd,,βοῦς,,
nounpdgm15,1,noun,oos_oou,2nd,,νόος,,
nounpdgm15,1,noun,oos_oon,2nd,,περίπλους,,
nounpdgm15,1,noun,eos_eou,2nd,,κάνεον,,
nounpdgm16,1,noun,eh_ehs,1st,,γῆ,,
nounpdgm16,1,noun,eh_ehs,1st,,συκῆ,,
nounpdgm16,1,noun,ah_ahs,1st,,μνᾶ,,
nounpdgm16,1,noun,ehs_eou,1st,,Ἑρμῆς,,
nounpdgm17,1,noun,ws_w,2nd,,ναός,,
nounpdgm17,1,noun,ws_w,3rd,,ναός,,
nounpdgm17,1,noun,ws_wos,2nd,,λαός,,
nounpdgm17,1,noun,ws_wos,3rd,,λαός,,
nounpdgm17,1,noun,ws_oos,2nd,,ἠώς,,
nounpdgm17,1,noun,ws_oos,3rd,,ἠώς,,
nounpdgm17,1,noun,ws_w,2nd,,λαγῶς,,
nounpdgm17,1,noun,ws_w,3rd,,λαγῶς,,

nounpdgm18,1,noun,ws_oos,3rd,,αἰδώς,,
nounpdgm18,1,noun,ws_wos,3rd,,ἥρως,,
