ID ref,Match order,Part of speech,Stem type,Voice,Mood,Tense,Lemma,Morph flags,Dialect
verbpdgm1,2,verb,w_stem,active,,,,,
verbpdgm2,2,verb,w_stem,mediopassive,,,,,
verbpdgm2,2,verb,w_stem,middle,,,,,
verbpdgm3,1,verb,reg_fut,,,,,,
verbpdgm3,3,verb,aor_pass,passive,,future,,,
verbpdgm4,2,verb,3w_fut,,,,,,
verbpdgm5,3,verb,aw_fut,,,,,,
verbpdgm6,1,verb,aor2,active,,,,,
verbpdgm7,1,verb,aor2,middle,,,,,
verbpdgm7,1,verb,aor2,mediopassive,,,,,
verbpdgm8,1,verb,aor1,active,,,,,
verbpdgm9,1,verb,aor1,middle,,,,,
verbpdgm10,1,verb,aor_pass,,,,,,
verbpdgm10,1,verb,aor2_pass,,,,,,
verbpdgm11,1,verb,perf_act,,,,,,
verbpdgm11,5,verb,,active,indicative,perfect,ἵημι,,
verbpdgm15,3,verb,perf_act,active,,pluperfect,,,
verbpdgm12,1,verb,,mediopassive,indicative,perfect,,,
verbpdgm12,1,verb,,mediopassive,infinitive,perfect,,,
verbpdgm13,1,verb,,mediopassive,subjunctive,perfect,,,
verbpdgm13,1,verb,,middle,subjunctive,perfect,,,
verbpdgm13,1,verb,,mediopassive,optative,perfect,,,
verbpdgm13,1,verb,,middle,optative,perfect,,,
verbpdgm13,1,verb,,mediopassive,imperative,perfect,,,
verbpdgm13,1,verb,,middle,imperative,perfect,,,
verbpdgm14,1,verb,,mediopassive,subjunctive,perfect,,,
verbpdgm14,1,verb,,middle,subjunctive,perfect,,,
verbpdgm14,1,verb,,mediopassive,optative,perfect,,,
verbpdgm14,1,verb,,middle,optative,perfect,,,
verbpdgm14,1,verb,,mediopassive,imperative,perfect,,,
verbpdgm14,1,verb,,middle,imperative,perfect,,,
verbpdgm15,1,verb,,mediopassive,indicative,pluperfect,,,
verbpdgm16,1,verb,fut_perf,,,,,,
verbpdgm17,1,verb,perf2_act,,,,,,
verbpdgm17,5,verb,perf2_act,,,,ἵστημι,,
